32	45	124	251
14	0	87	174
36	37	78	157
24	25	66	134
32	30	58	117
40	24	56	111
17	25	51	102
19	22	49	100
16	20	45	90
37	38	43	84
35	37	43	87
35	45	40	79
16	26	40	80
37	39	38	74
31	27	38	76
31	26	37	77
43	26	36	74
49	44	34	71
34	39	33	67
45	33	32	62
40	41	32	63
23	6	32	64
40	39	31	63
29	43	30	62
19	3	30	58
35	39	29	59
28	54	29	61
27	30	29	56
23	46	29	60
48	40	28	54
35	38	28	56
31	28	28	55
17	48	27	57
39	44	26	55
30	41	26	55
39	37	25	49
32	38	25	48
31	43	25	49
19	29	25	49
47	23	24	47
41	44	24	46
41	40	24	47
39	36	24	46
37	28	24	47
33	46	24	47
39	45	23	48
37	40	23	45
37	24	23	46
30	43	23	47
29	52	23	44
14	50	23	46
69	19	22	47
50	61	22	45
45	43	22	46
37	36	22	44
36	38	22	42
26	28	22	47
23	15	22	42
21	47	22	43
14	3	22	42
12	37	22	47
50	62	21	41
49	56	21	44
49	42	21	45
43	40	21	42
42	42	21	42
40	43	21	45
52	37	20	38
45	46	20	38
38	37	20	38
35	44	20	39
34	44	20	41
31	44	20	43
24	33	20	39
12	17	20	39
44	30	19	37
43	44	19	40
41	29	19	36
40	66	19	38
40	27	19	39
34	47	19	38
27	42	19	37
22	15	19	37
21	24	19	36
21	10	19	36
65	15	18	38
47	37	18	34
42	64	18	34
41	42	18	35
37	58	18	36
33	42	18	35
32	61	18	38
30	42	18	35
28	39	18	39
22	23	18	34
12	9	18	37
55	55	17	32
45	21	17	33
42	63	17	34
40	18	17	32
33	59	17	37
29	38	17	33
29	35	17	36
24	30	17	32
17	44	17	32
56	40	16	31
56	37	16	35
52	41	16	34
51	59	16	30
51	45	16	31
49	37	16	30
49	22	16	33
47	22	16	31
32	23	16	30
31	54	16	32
30	35	16	35
30	24	16	34
23	7	16	32
22	8	16	33
16	40	16	34
15	7	16	32
13	9	16	31
9	25	16	33
56	31	15	30
51	56	15	32
49	54	15	31
42	46	15	28
40	67	15	28
39	40	15	31
33	41	15	30
31	62	15	30
31	55	15	31
31	48	15	28
28	24	15	30
28	17	15	29
27	26	15	29
23	48	15	28
21	43	15	32
20	27	15	30
17	6	15	28
12	43	15	28
10	36	15	28
64	2	14	28
51	40	14	30
51	23	14	30
49	48	14	28
47	41	14	30
43	49	14	29
37	43	14	31
35	70	14	30
35	28	14	29
32	36	14	31
28	41	14	27
24	32	14	31
23	40	14	26
23	24	14	30
18	37	14	26
18	19	14	29
17	43	14	30
13	50	14	27
10	18	14	30
69	25	13	24
53	55	13	24
51	43	13	29
51	37	13	24
50	28	13	26
48	27	13	26
46	23	13	29
46	19	13	24
43	33	13	29
40	56	13	25
39	60	13	27
38	29	13	29
37	45	13	27
36	65	13	29
36	34	13	24
35	66	13	27
35	23	13	27
33	26	13	26
27	53	13	24
27	36	13	26
23	43	13	26
23	4	13	28
22	16	13	27
18	35	13	29
14	36	13	26
13	27	13	28
11	40	13	28
6	25	13	25
3	32	13	24
57	3	12	27
56	39	12	26
54	25	12	23
53	40	12	24
53	9	12	26
52	39	12	27
51	55	12	27
50	46	12	27
50	41	12	26
50	39	12	24
50	29	12	27
47	29	12	25
47	24	12	24
42	55	12	25
42	28	12	22
40	46	12	25
39	57	12	23
36	28	12	26
33	62	12	22
32	40	12	27
31	40	12	26
28	33	12	22
27	48	12	25
25	51	12	27
25	32	12	22
25	29	12	27
22	30	12	26
22	29	12	26
21	45	12	25
20	51	12	27
19	20	12	22
16	12	12	22
9	33	12	24
68	3	11	22
67	3	11	23
65	11	11	23
52	42	11	21
51	41	11	22
49	55	11	25
49	45	11	24
49	23	11	21
47	42	11	20
47	39	11	22
46	50	11	21
44	47	11	21
43	32	11	23
42	40	11	20
40	58	11	23
39	62	11	20
37	35	11	25
36	33	11	24
35	36	11	25
31	34	11	20
31	18	11	20
30	47	11	25
30	18	11	22
29	34	11	22
28	34	11	24
27	38	11	21
26	56	11	22
26	54	11	21
25	28	11	21
23	44	11	21
21	44	11	24
21	7	11	23
19	24	11	22
18	46	11	21
16	23	11	20
13	28	11	21
13	6	11	22
4	33	11	21
2	34	11	20
0	33	11	20
65	2	10	22
65	1	10	18
64	40	10	22
60	43	10	21
60	28	10	21
56	41	10	18
56	30	10	23
53	37	10	22
51	44	10	19
50	63	10	22
50	40	10	23
49	57	10	18
48	9	10	23
45	58	10	22
37	32	10	21
36	13	10	18
33	65	10	21
32	53	10	21
32	35	10	18
31	36	10	21
30	48	10	21
30	23	10	20
29	42	10	19
27	27	10	23
27	25	10	18
26	50	10	22
26	35	10	18
24	47	10	19
24	31	10	22
22	38	10	19
16	37	10	19
16	36	10	18
6	33	10	21
5	25	10	21
67	23	9	19
67	2	9	21
64	46	9	21
64	44	9	16
64	39	9	20
61	2	9	17
57	40	9	17
54	45	9	18
53	30	9	16
52	38	9	20
49	49	9	19
49	43	9	20
49	17	9	20
48	38	9	19
46	51	9	16
46	49	9	17
45	45	9	17
45	44	9	16
45	39	9	16
45	37	9	19
44	45	9	17
43	27	9	19
39	61	9	18
38	39	9	18
35	24	9	19
34	60	9	21
34	48	9	17
34	26	9	18
32	62	9	20
30	62	9	20
30	45	9	17
29	39	9	20
29	33	9	20
28	58	9	21
28	43	9	18
28	36	9	20
28	26	9	19
27	52	9	20
27	43	9	20
26	51	9	18
26	41	9	16
25	43	9	20
25	33	9	19
24	46	9	19
24	36	9	16
23	51	9	17
22	27	9	20
21	51	9	19
19	45	9	18
18	7	9	18
15	40	9	18
14	34	9	18
13	7	9	21
12	30	9	20
12	25	9	17
12	19	9	20
11	34	9	16
10	33	9	20
7	23	9	18
6	23	9	17
67	7	8	19
66	40	8	16
63	21	8	17
55	39	8	18
54	40	8	15
54	38	8	15
53	38	8	15
53	15	8	14
52	46	8	16
51	57	8	14
50	50	8	14
49	20	8	14
47	16	8	18
44	19	8	14
42	19	8	14
41	41	8	19
41	19	8	18
40	44	8	18
38	59	8	15
36	48	8	14
36	44	8	19
32	66	8	17
32	17	8	16
31	47	8	17
31	45	8	15
30	46	8	16
30	39	8	17
30	31	8	15
29	62	8	14
28	53	8	14
27	32	8	15
26	55	8	18
25	34	8	15
23	39	8	18
23	31	8	15
23	25	8	19
23	18	8	16
23	13	8	19
18	24	8	16
16	57	8	15
16	49	8	14
16	47	8	16
14	32	8	17
12	33	8	17
67	17	7	14
66	16	7	15
63	38	7	17
53	46	7	12
53	14	7	13
52	14	7	13
50	38	7	17
49	51	7	14
48	30	7	14
47	63	7	12
46	62	7	15
44	55	7	15
44	34	7	17
44	26	7	17
42	56	7	13
41	43	7	14
41	26	7	15
40	61	7	17
40	40	7	15
40	38	7	14
40	26	7	16
39	38	7	15
38	55	7	15
38	28	7	14
37	49	7	12
35	13	7	14
35	11	7	12
34	63	7	14
34	38	7	16
33	63	7	16
33	56	7	16
32	60	7	17
32	13	7	17
30	37	7	16
30	29	7	17
30	15	7	12
29	59	7	14
29	41	7	14
29	17	7	16
28	30	7	16
27	59	7	14
27	34	7	12
27	24	7	12
26	32	7	16
26	13	7	12
25	31	7	13
23	41	7	12
23	32	7	16
23	12	7	12
21	30	7	13
21	16	7	17
20	43	7	13
20	16	7	15
19	47	7	12
19	37	7	16
17	49	7	12
14	35	7	16
13	43	7	14
13	33	7	13
10	34	7	13
8	43	7	14
5	33	7	16
2	33	7	15
74	18	6	11
68	24	6	14
63	45	6	10
63	39	6	10
60	42	6	12
60	21	6	14
60	11	6	14
58	24	6	12
56	55	6	13
55	16	6	10
54	14	6	14
53	41	6	12
53	22	6	12
52	23	6	10
50	55	6	11
50	51	6	10
50	24	6	13
49	32	6	10
49	8	6	11
49	7	6	11
48	46	6	10
48	21	6	10
47	38	6	15
47	32	6	10
47	31	6	10
46	24	6	11
46	16	6	12
45	57	6	10
45	54	6	12
45	47	6	14
44	44	6	11
44	40	6	14
44	28	6	14
43	54	6	10
42	60	6	13
41	63	6	13
41	60	6	11
41	48	6	10
40	62	6	13
40	48	6	10
39	27	6	11
39	26	6	13
36	50	6	15
36	35	6	15
34	61	6	10
33	27	6	12
32	59	6	13
32	42	6	12
31	59	6	10
31	10	6	13
29	63	6	11
29	46	6	10
29	36	6	14
29	13	6	11
28	52	6	10
28	38	6	14
27	51	6	14
26	33	6	11
25	52	6	15
24	27	6	15
23	21	6	12
22	41	6	10
21	20	6	10
19	51	6	15
19	43	6	13
16	41	6	15
15	48	6	11
15	32	6	13
14	12	6	12
14	7	6	15
13	31	7	15
11	49	7	12
11	33	7	10
8	20	7	10
7	26	7	13
71	17	6	11
70	27	6	10
68	20	6	10
68	14	6	13
68	6	6	11
66	11	6	9
66	9	6	9
66	1	6	11
65	9	6	9
62	48	6	8
62	21	6	9
62	12	6	10
62	7	6	9
62	6	6	9
60	4	6	12
58	39	6	13
56	25	6	9
56	24	6	10
55	44	6	8
55	43	6	10
54	50	6	9
54	42	6	8
54	36	6	10
52	44	6	13
52	36	6	10
50	59	6	10
50	52	6	13
50	49	6	9
50	42	6	9
49	19	6	11
48	37	6	13
48	16	6	13
47	28	6	9
45	36	6	10
45	26	6	9
42	54	6	10
42	43	6	11
41	30	6	13
39	43	6	12
39	39	6	8
38	33	6	8
38	31	6	10
37	57	6	13
37	29	6	12
36	41	6	13
36	25	6	9
35	54	6	12
34	65	6	11
34	13	6	9
34	12	6	9
33	64	6	11
33	57	6	8
32	34	6	8
32	11	6	10
30	14	6	12
29	30	6	9
28	13	6	13
28	12	6	9
27	41	6	10
27	13	6	9
26	34	6	13
25	27	6	8
24	44	6	9
23	47	6	10
23	37	6	10
23	35	6	10
22	42	6	13
21	6	6	13
20	46	6	10
20	24	6	12
20	21	6	10
18	36	6	8
16	11	6	11
15	33	6	10
15	13	6	10
12	28	6	9
12	10	6	10
11	43	6	12
9	32	6	13
8	32	6	9
7	34	6	8
5	24	6	12
4	32	6	10
2	25	6	13
72	17	5	11
65	16	5	10
63	20	5	10
62	45	5	6
62	3	5	10
61	22	5	10
61	7	5	8
59	8	5	7
59	2	5	9
58	41	5	9
58	40	5	8
56	14	5	9
55	15	5	11
54	37	5	11
54	16	5	11
54	9	5	7
53	42	5	10
53	36	5	9
53	23	5	7
51	49	5	9
50	54	5	10
50	36	5	7
50	17	5	6
49	39	5	9
48	58	5	7
48	42	5	9
48	34	5	10
48	29	5	6
47	34	5	7
44	57	5	9
44	54	5	8
44	35	5	7
43	38	5	9
43	35	5	8
42	41	5	10
42	39	5	8
42	17	5	6
41	61	5	9
40	59	5	7
39	46	5	7
38	56	5	6
36	66	5	7
36	39	5	9
36	22	5	6
35	43	5	6
35	34	5	9
34	49	5	7
34	20	5	11
33	55	5	7
33	49	5	11
32	63	5	7
32	54	5	8
32	44	5	9
30	60	5	11
30	54	5	6
30	34	5	10
29	66	5	9
29	47	5	9
29	16	5	11
28	59	5	6
28	42	5	6
27	45	5	10
27	16	5	7
26	52	5	9
26	26	5	6
24	43	5	6
23	29	5	10
21	50	5	6
20	48	5	10
20	35	5	7
20	22	5	7
18	49	5	11
18	48	5	10
17	38	5	11
17	24	5	10
16	48	5	11
16	34	5	7
16	22	5	8
15	30	5	7
13	36	5	7
13	34	5	8
13	30	5	11
13	25	5	9
12	34	5	10
11	38	5	9
11	26	5	11
8	21	5	9
7	33	5	8
5	32	5	7
3	23	5	10
70	17	4	6
67	24	4	5
66	43	4	9
61	44	4	8
61	10	4	5
59	40	4	7
59	20	4	4
58	26	4	7
57	39	4	8
57	26	4	5
56	47	4	6
56	36	4	5
55	38	4	6
55	33	4	5
55	13	4	9
54	47	4	6
52	55	4	9
52	43	4	7
52	22	4	8
51	36	4	5
50	45	4	8
50	43	4	6
50	22	4	7
50	20	4	4
49	38	4	9
49	27	4	9
48	35	4	6
47	47	4	6
47	18	4	8
46	48	4	9
46	18	4	4
45	56	4	7
45	53	4	9
45	51	4	4
45	48	4	9
45	19	4	7
44	27	4	7
43	53	4	7
42	38	4	8
41	39	4	9
41	28	4	7
40	64	4	9
40	60	4	7
40	54	4	4
40	47	4	6
40	34	4	4
39	63	4	5
39	54	4	9
37	60	4	6
37	23	4	4
36	59	4	9
35	53	4	5
35	50	4	5
35	49	4	4
35	12	4	8
33	61	4	4
33	48	4	8
32	15	4	6
32	14	4	4
31	33	4	9
30	33	4	9
30	11	4	8
29	51	4	5
29	45	4	9
29	40	4	4
29	15	4	9
28	55	4	7
27	58	4	9
26	47	4	6
26	25	4	9
25	46	4	4
25	40	4	5
25	16	4	6
25	15	4	7
24	42	4	6
23	45	4	8
23	42	4	6
22	28	4	8
20	38	4	8
20	30	4	9
19	49	4	6
19	44	4	4
17	35	4	7
